word,count
d,112
material,80
pattern,63
and,61
the,49
to,40
clip,37
studio,33
be,32
effect,30
manga,28
materials,27
of,27
delete,26
this,26
background,25
monochromatic,23
files,22
folder,22
you,21
favorites,20
object,20
cannot,18
feeling,18
character,17
in,17
show,17
will,17
color,16
image,16
line,16
small,16
sound,15
for,14
from,14
not,14
project,14
selected,14
deleted,12
do,12
sign,12
your,12
parts,11
modeler,10
name,10
other,10
switch,10
type,10
used,10
want,10
balloon,9
body,9
data,9
gradient,9
shape,9
template,9
works,9
action,8
being,8
coordinate,8
deleting,8
foreground,8
is,8
layer,8
list,8
or,8
paint,8
setting,8
tag,8
texture,8
tool,8
all,7
bin,7
date,7
illustration,7
insert,7
it,7
operation,7
pose,7
recycle,7
search,7
that,7
a,6
as,6
brush,6
comicstudio,6
facility,6
flower,6
label,6
moved,6
movement,6
page,6
plant,6
please,6
these,6
work,6
added,5
are,5
before,5
file,5
following,5
framing,5
hide,5
s,5
set,5
so,5
syncing,5
after,4
again,4
anger,4
basic,4
breath,4
bright,4
but,4
clothes,4
dark,4
delight,4
exists,4
face,4
flash,4
folders,4
frame,4
hand,4
if,4
items,4
japanese,4
loud,4
model,4
moving,4
on,4
paper,4
parallel,4
quiet,4
sand,4
school,4
settings,4
soft,4
storage,4
suited,4
tense,4
thumbnail,4
trash,4
try,4
undone,4
with,4
without,4
add,3
appear,3
assets,3
building,3
can,3
canvas,3
computer,3
contains,3
content,3
corner,3
could,3
effects,3
external,3
fanzine,3
figure,3
format,3
hair,3
here,3
illuststudio,3
impact,3
information,3
item,3
large,3
like,3
modified,3
nature,3
new,3
now,3
off,3
old,3
open,3
panorama,3
person,3
primitive,3
recently,3
remove,3
ruler,3
same,3
saved,3
signs,3
store,3
use,3
user,3
actual,2
adding,2
adjust,2
already,2
an,2
animation,2
another,2
application,2
artificial,2
auto,2
aware,2
balloons,2
bar,2
beta,2
beverage,2
book,2
box,2
button,2
by,2
camera,2
cancel,2
change,2
changing,2
clicking,2
cloud,2
code,2
collection,2
command,2
commercial,2
community,2
create,2
database,2
default,2
destination,2
detail,2
details,2
device,2
direction,2
displayed,2
dot,2
editing,2
electronics,2
entire,2
executed,2
export,2
fit,2
font,2
food,2
found,2
function,2
furniture,2
head,2
hidden,2
hierarchy,2
home,2
importing,2
interior,2
keywords,2
labels,2
lettering,2
machine,2
may,2
motion,2
noise,2
notice,2
performed,2
points,2
preset,2
proceed,2
properties,2
right,2
road,2
saturated,2
save,2
scale,2
scenery,2
script,2
sea,2
searching,2
sequence,2
smoke,2
some,2
speed,2
stage,2
stationery,2
such,2
supply,2
sweat,2
synced,2
teamwork,2
tear,2
text,2
they,2
timeline,2
title,2
tone,2
uneditable,2
unnamed,2
urchin,2
voice,2
wait,2
while,2
window,2
within,2
workspace,2
above,1
according,1
additional,1
adjustment,1
affect,1
affected,1
at,1
because,1
been,1
below,1
between,1
bonus,1
bottom,1
catalog,1
characters,1
check,1
commodity,1
contain,1
convert,1
created,1
cross,1
csv,1
currently,1
decoration,1
dialog,1
display,1
does,1
downloaded,1
drawing,1
e,1
entirely,1
epub,1
expand,1
expressing,1
extracting,1
f,1
fashion,1
fill,1
flare,1
focus,1
frequency,1
front,1
full,1
hands,1
has,1
hatching,1
have,1
icon,1
imported,1
included,1
indicated,1
install,1
lens,1
light,1
lines,1
location,1
menu,1
move,1
multiple,1
narration,1
no,1
only,1
order,1
others,1
output,1
overlapping,1
palette,1
paste,1
pasting,1
perspective,1
picture,1
print,1
printing,1
rain,1
raster,1
recommended,1
register,1
removed,1
rename,1
replace,1
select,1
selection,1
sentiment,1
shows,1
special,1
specified,1
sport,1
status,1
sufficient,1
suitable,1
sweats,1
sync,1
tags,1
texts,1
there,1
time,1
tip,1
toning,1
tools,1
turned,1
unavailable,1
undeletable,1
under,1
unimported,1
updated,1
uploaded,1
vector,1
vehicle,1
weapon,1
which,1
wound,1
